test,N,run,vary,ttl,fanout,policy,pull_interval_ms,convergence_ms,overhead
ttl,10,0,ttl=5,5,3,first,0,2.0,64
ttl,10,0,ttl=10,10,3,first,0,3.0,68
ttl,10,0,ttl=20,20,3,first,0,3.0,71
ttl,10,1,ttl=5,5,3,first,0,2.0,60
ttl,10,1,ttl=10,10,3,first,0,3.0,71
ttl,10,1,ttl=20,20,3,first,0,2.0,72
ttl,10,2,ttl=5,5,3,first,0,2.0,63
ttl,10,2,ttl=10,10,3,first,0,3.0,75
ttl,10,2,ttl=20,20,3,first,0,2.0,58
ttl,10,3,ttl=5,5,3,first,0,2.0,59
ttl,10,3,ttl=10,10,3,first,0,2.0,53
ttl,10,3,ttl=20,20,3,first,0,4.0,97
ttl,10,4,ttl=5,5,3,first,0,2.0,60
ttl,10,4,ttl=10,10,3,first,0,3.0,68
ttl,10,4,ttl=20,20,3,first,0,2.0,56
ttl,20,0,ttl=5,5,3,first,0,3.0,130
ttl,20,0,ttl=10,10,3,first,0,7.0,274
ttl,20,0,ttl=20,20,3,first,0,8.0,290
ttl,20,1,ttl=5,5,3,first,0,6.0,228
ttl,20,1,ttl=10,10,3,first,0,7.0,234
ttl,20,1,ttl=20,20,3,first,0,7.0,239
ttl,20,2,ttl=5,5,3,first,0,7.0,258
ttl,20,2,ttl=10,10,3,first,0,7.0,249
ttl,20,2,ttl=20,20,3,first,0,5.0,154
ttl,20,3,ttl=5,5,3,first,0,8.0,283
ttl,20,3,ttl=10,10,3,first,0,4.0,129
ttl,20,3,ttl=20,20,3,first,0,9.0,311
ttl,20,4,ttl=5,5,3,first,0,4.0,164
ttl,20,4,ttl=10,10,3,first,0,6.0,232
ttl,20,4,ttl=20,20,3,first,0,4.0,149
ttl,50,0,ttl=5,5,3,first,0,44.0,1758
ttl,50,0,ttl=10,10,3,first,0,52.0,2134
ttl,50,0,ttl=20,20,3,first,0,48.0,1749
ttl,50,1,ttl=5,5,3,first,0,51.0,1938
ttl,50,1,ttl=10,10,3,first,0,47.0,2006
ttl,50,1,ttl=20,20,3,first,0,49.0,1625
ttl,50,2,ttl=5,5,3,first,0,59.0,2109
ttl,50,2,ttl=10,10,3,first,0,54.0,2246
ttl,50,2,ttl=20,20,3,first,0,45.0,1914
ttl,50,3,ttl=5,5,3,first,0,41.0,1750
ttl,50,3,ttl=10,10,3,first,0,50.0,2157
ttl,50,3,ttl=20,20,3,first,0,60.0,2272
ttl,50,4,ttl=5,5,3,first,0,50.0,2113
ttl,50,4,ttl=10,10,3,first,0,52.0,1833
ttl,50,4,ttl=20,20,3,first,0,56.0,2145
